Area,Item,Value
Afghanistan,Pigmeat,0.01
Afghanistan,"Offals, Edible",1.16
Albania,Pigmeat,6.4
Albania,"Offals, Edible",5.31
Algeria,Pigmeat,0.02
Algeria,"Offals, Edible",1.51
Angola,Pigmeat,7.72
Angola,"Offals, Edible",1.46
Antigua and Barbuda,Pigmeat,6.31
Antigua and Barbuda,"Offals, Edible",2.64
Argentina,Pigmeat,14.49
Argentina,"Offals, Edible",9.88
Armenia,Pigmeat,8.96
Armenia,"Offals, Edible",6.3
Australia,Pigmeat,28.52
Australia,"Offals, Edible",8.97
Austria,Pigmeat,46.69
Austria,"Offals, Edible",4.05
Azerbaijan,Pigmeat,0.55
Azerbaijan,"Offals, Edible",4.67
Bahamas,Pigmeat,24.39
Bahamas,"Offals, Edible",2.39
Bahrain,Pigmeat,0.81
Bahrain,"Offals, Edible",4.12
Bangladesh,Pigmeat,0
Bangladesh,"Offals, Edible",0.56
Barbados,Pigmeat,9.09
Barbados,"Offals, Edible",2.22
Belarus,Pigmeat,38.25
Belarus,"Offals, Edible",8.21
Belgium,Pigmeat,31.61
Belgium,"Offals, Edible",8.58
Belize,Pigmeat,21.65
Belize,"Offals, Edible",0.77
Benin,Pigmeat,0.7
Benin,"Offals, Edible",0.85
Bhutan,Pigmeat,1.9
Bhutan,"Offals, Edible",1.25
Bolivia (Plurinational State of),Pigmeat,10.28
Bolivia (Plurinational State of),"Offals, Edible",4.56
Bosnia and Herzegovina,Pigmeat,9.76
Bosnia and Herzegovina,"Offals, Edible",2.04
Botswana,Pigmeat,0.49
Botswana,"Offals, Edible",3.25
Brazil,Pigmeat,14.35
Brazil,"Offals, Edible",4.29
Bulgaria,Pigmeat,31.61
Bulgaria,"Offals, Edible",4.91
Burkina Faso,Pigmeat,15.8
Burkina Faso,"Offals, Edible",3.06
Burundi,Pigmeat,0.85
Burundi,"Offals, Edible",0.43
Cabo Verde,Pigmeat,9.24
Cabo Verde,"Offals, Edible",1.48
Cambodia,Pigmeat,5.66
Cambodia,"Offals, Edible",1.05
Cameroon,Pigmeat,1.27
Cameroon,"Offals, Edible",0.86
Canada,Pigmeat,24.77
Canada,"Offals, Edible",0.66
Central African Republic,Pigmeat,4.82
Central African Republic,"Offals, Edible",3.45
Chad,Pigmeat,0.15
Chad,"Offals, Edible",7.22
Chile,Pigmeat,23.14
Chile,"Offals, Edible",0.55
China,Pigmeat,36.13
China,"Offals, Edible",3.73
"China, Hong Kong SAR",Pigmeat,50.16
"China, Hong Kong SAR","Offals, Edible",38.83
"China, Macao SAR",Pigmeat,50.28
"China, Macao SAR","Offals, Edible",2.79
"China, mainland",Pigmeat,36.01
"China, mainland","Offals, Edible",3.57
"China, Taiwan Province of",Pigmeat,38.69
"China, Taiwan Province of","Offals, Edible",2.03
Colombia,Pigmeat,11.3
Colombia,"Offals, Edible",2.88
Comoros,Pigmeat,0.03
Comoros,"Offals, Edible",16.76
Congo,Pigmeat,6.3
Congo,"Offals, Edible",4.87
Costa Rica,Pigmeat,13.05
Costa Rica,"Offals, Edible",1.72
Côte d'Ivoire,Pigmeat,1.12
Côte d'Ivoire,"Offals, Edible",4.55
Croatia,Pigmeat,52.96
Croatia,"Offals, Edible",4.04
Cuba,Pigmeat,22.24
Cuba,"Offals, Edible",3.78
Cyprus,Pigmeat,40.14
Cyprus,"Offals, Edible",1.76
Czechia,Pigmeat,45.07
Czechia,"Offals, Edible",2.68
Democratic People's Republic of Korea,Pigmeat,4.58
Democratic People's Republic of Korea,"Offals, Edible",0.61
Democratic Republic of the Congo,Pigmeat,0.71
Democratic Republic of the Congo,"Offals, Edible",0.42
Denmark,Pigmeat,23.14
Denmark,"Offals, Edible",0.23
Djibouti,Pigmeat,0.13
Djibouti,"Offals, Edible",2.21
Dominica,Pigmeat,12.99
Dominica,"Offals, Edible",3.12
Dominican Republic,Pigmeat,10.89
Dominican Republic,"Offals, Edible",3.97
Ecuador,Pigmeat,13.92
Ecuador,"Offals, Edible",3.93
Egypt,Pigmeat,0.01
Egypt,"Offals, Edible",4.8
El Salvador,Pigmeat,4.49
El Salvador,"Offals, Edible",1.05
Estonia,Pigmeat,37.43
Estonia,"Offals, Edible",2.86
Eswatini,Pigmeat,2.23
Eswatini,"Offals, Edible",2.8
Ethiopia,Pigmeat,0.02
Ethiopia,"Offals, Edible",1.34
Fiji,Pigmeat,3.89
Fiji,"Offals, Edible",2.53
Finland,Pigmeat,31.78
Finland,"Offals, Edible",2.58
France,Pigmeat,31.37
France,"Offals, Edible",5.6
French Polynesia,Pigmeat,15.3
French Polynesia,"Offals, Edible",4.03
Gabon,Pigmeat,7.62
Gabon,"Offals, Edible",5.29
Gambia,Pigmeat,0.48
Gambia,"Offals, Edible",0.78
Georgia,Pigmeat,9.79
Georgia,"Offals, Edible",2.94
Germany,Pigmeat,46.51
Germany,"Offals, Edible",1.07
Ghana,Pigmeat,1.03
Ghana,"Offals, Edible",1.06
Greece,Pigmeat,28.86
Greece,"Offals, Edible",3.34
Grenada,Pigmeat,9.69
Grenada,"Offals, Edible",1.68
Guatemala,Pigmeat,3.91
Guatemala,"Offals, Edible",1.21
Guinea,Pigmeat,0.22
Guinea,"Offals, Edible",2.08
Guinea-Bissau,Pigmeat,7.33
Guinea-Bissau,"Offals, Edible",1.58
Guyana,Pigmeat,4.9
Guyana,"Offals, Edible",0.9
Haiti,Pigmeat,3.58
Haiti,"Offals, Edible",1.87
Honduras,Pigmeat,4.96
Honduras,"Offals, Edible",1.5
Hungary,Pigmeat,51.86
Hungary,"Offals, Edible",0.43
Iceland,Pigmeat,22.23
Iceland,"Offals, Edible",3.34
India,Pigmeat,0.26
India,"Offals, Edible",0.23
Indonesia,Pigmeat,0.88
Indonesia,"Offals, Edible",0.68
Iran (Islamic Republic of),Pigmeat,0
Iran (Islamic Republic of),"Offals, Edible",1.42
Iraq,Pigmeat,0.01
Iraq,"Offals, Edible",0.48
Ireland,Pigmeat,30.9
Ireland,"Offals, Edible",1.46
Israel,Pigmeat,1.43
Israel,"Offals, Edible",3.38
Italy,Pigmeat,36.06
Italy,"Offals, Edible",2.59
Jamaica,Pigmeat,3.08
Jamaica,"Offals, Edible",3.42
Japan,Pigmeat,21.74
Japan,"Offals, Edible",2.24
Jordan,Pigmeat,0.01
Jordan,"Offals, Edible",1.69
Kazakhstan,Pigmeat,7.57
Kazakhstan,"Offals, Edible",6.37
Kenya,Pigmeat,0.31
Kenya,"Offals, Edible",1.62
Kiribati,Pigmeat,11.28
Kiribati,"Offals, Edible",0.54
Kuwait,Pigmeat,0.33
Kuwait,"Offals, Edible",3.31
Kyrgyzstan,Pigmeat,2.25
Kyrgyzstan,"Offals, Edible",5.64
Lao People's Democratic Republic,Pigmeat,13.17
Lao People's Democratic Republic,"Offals, Edible",3.16
Latvia,Pigmeat,41
Latvia,"Offals, Edible",3.96
Lebanon,Pigmeat,0.88
Lebanon,"Offals, Edible",0.89
Lesotho,Pigmeat,3.39
Lesotho,"Offals, Edible",6.1
Liberia,Pigmeat,4.83
Liberia,"Offals, Edible",3.6
Libya,Pigmeat,0.05
Libya,"Offals, Edible",1.23
Lithuania,Pigmeat,48.18
Lithuania,"Offals, Edible",3.49
Luxembourg,Pigmeat,31.82
Luxembourg,"Offals, Edible",2.33
Madagascar,Pigmeat,1.63
Madagascar,"Offals, Edible",0.31
Malawi,Pigmeat,14.5
Malawi,"Offals, Edible",1.32
Malaysia,Pigmeat,7.79
Malaysia,"Offals, Edible",0.65
Maldives,Pigmeat,1
Maldives,"Offals, Edible",0.02
Mali,Pigmeat,0.07
Mali,"Offals, Edible",0.6
Malta,Pigmeat,23.95
Malta,"Offals, Edible",1.09
Mauritania,Pigmeat,0
Mauritania,"Offals, Edible",3.66
Mauritius,Pigmeat,4.14
Mauritius,"Offals, Edible",1.17
Mexico,Pigmeat,18.3
Mexico,"Offals, Edible",5.44
Micronesia (Federated States of),Pigmeat,15.9
Micronesia (Federated States of),"Offals, Edible",1.09
Mongolia,Pigmeat,1.02
Mongolia,"Offals, Edible",30.17
Montenegro,Pigmeat,43.26
Montenegro,"Offals, Edible",3.63
Morocco,Pigmeat,0.02
Morocco,"Offals, Edible",2.85
Mozambique,Pigmeat,3.48
Mozambique,"Offals, Edible",0.28
Myanmar,Pigmeat,19.62
Myanmar,"Offals, Edible",2.92
Namibia,Pigmeat,4.4
Namibia,"Offals, Edible",2.26
Nauru,Pigmeat,27.35
Nauru,"Offals, Edible",1.67
Nepal,Pigmeat,1.06
Nepal,"Offals, Edible",2.72
Netherlands,Pigmeat,27.36
Netherlands,"Offals, Edible",1.04
New Caledonia,Pigmeat,17.08
New Caledonia,"Offals, Edible",2.54
New Zealand,Pigmeat,27.72
New Zealand,"Offals, Edible",12.67
Nicaragua,Pigmeat,5.37
Nicaragua,"Offals, Edible",1.92
Niger,Pigmeat,0.07
Niger,"Offals, Edible",0.81
Nigeria,Pigmeat,1.51
Nigeria,"Offals, Edible",0.61
North Macedonia,Pigmeat,10.8
North Macedonia,"Offals, Edible",2.79
Norway,Pigmeat,24.65
Norway,"Offals, Edible",1.67
Oman,Pigmeat,0.56
Oman,"Offals, Edible",2.62
Pakistan,Pigmeat,0
Pakistan,"Offals, Edible",1.81
Panama,Pigmeat,16.25
Panama,"Offals, Edible",3.29
Papua New Guinea,Pigmeat,10.08
Papua New Guinea,"Offals, Edible",1.35
Paraguay,Pigmeat,7.95
Paraguay,"Offals, Edible",4.67
Peru,Pigmeat,4.78
Peru,"Offals, Edible",3.22
Philippines,Pigmeat,16.02
Philippines,"Offals, Edible",5.28
Poland,Pigmeat,54.27
Poland,"Offals, Edible",1.26
Portugal,Pigmeat,40.74
Portugal,"Offals, Edible",4.42
Qatar,Pigmeat,0.13
Qatar,"Offals, Edible",1.08
Republic of Korea,Pigmeat,40.53
Republic of Korea,"Offals, Edible",4.94
Republic of Moldova,Pigmeat,17.25
Republic of Moldova,"Offals, Edible",1.75
Romania,Pigmeat,36.05
Romania,"Offals, Edible",3.59
Russian Federation,Pigmeat,27.09
Russian Federation,"Offals, Edible",4.38
Rwanda,Pigmeat,1.03
Rwanda,"Offals, Edible",0.86
Saint Kitts and Nevis,Pigmeat,14.56
Saint Kitts and Nevis,"Offals, Edible",1.23
Saint Lucia,Pigmeat,18.32
Saint Lucia,"Offals, Edible",17.19
Saint Vincent and the Grenadines,Pigmeat,11.39
Saint Vincent and the Grenadines,"Offals, Edible",1.75
Samoa,Pigmeat,12.48
Samoa,"Offals, Edible",0.78
Sao Tome and Principe,Pigmeat,4.75
Sao Tome and Principe,"Offals, Edible",0.25
Saudi Arabia,"Offals, Edible",1.6
Senegal,Pigmeat,1.16
Senegal,"Offals, Edible",2.06
Serbia,Pigmeat,36.58
Serbia,"Offals, Edible",3.81
Seychelles,Pigmeat,13.56
Seychelles,"Offals, Edible",0.7
Sierra Leone,Pigmeat,1.08
Sierra Leone,"Offals, Edible",0.74
Slovakia,Pigmeat,36.34
Slovakia,"Offals, Edible",2.37
Slovenia,Pigmeat,29.98
Slovenia,"Offals, Edible",2.95
Solomon Islands,Pigmeat,5.68
Solomon Islands,"Offals, Edible",0.49
South Africa,Pigmeat,4.18
South Africa,"Offals, Edible",7.7
South Sudan,Pigmeat,0
South Sudan,"Offals, Edible",2.94
Spain,Pigmeat,55.07
Spain,"Offals, Edible",3.93
Sri Lanka,Pigmeat,0.06
Sri Lanka,"Offals, Edible",0.23
Sudan,Pigmeat,0
Sudan,"Offals, Edible",3.24
Suriname,Pigmeat,8.11
Suriname,"Offals, Edible",0.67
Sweden,Pigmeat,29.52
Sweden,"Offals, Edible",6.38
Switzerland,Pigmeat,27.63
Switzerland,"Offals, Edible",2.4
Syrian Arab Republic,Pigmeat,0
Syrian Arab Republic,"Offals, Edible",2.11
Tajikistan,Pigmeat,0.12
Tajikistan,"Offals, Edible",8.88
Thailand,Pigmeat,13.54
Thailand,"Offals, Edible",2.05
Timor-Leste,Pigmeat,11.16
Timor-Leste,"Offals, Edible",1
Togo,Pigmeat,2.32
Togo,"Offals, Edible",0.6
Trinidad and Tobago,Pigmeat,6.72
Trinidad and Tobago,"Offals, Edible",2.12
Tunisia,Pigmeat,0.01
Tunisia,"Offals, Edible",1.5
Türkiye,Pigmeat,0
Türkiye,"Offals, Edible",1.18
Turkmenistan,Pigmeat,0.09
Turkmenistan,"Offals, Edible",6.49
Uganda,Pigmeat,2.93
Uganda,"Offals, Edible",1.11
Ukraine,Pigmeat,17.38
Ukraine,"Offals, Edible",5.14
United Arab Emirates,"Offals, Edible",1.53
United Kingdom of Great Britain and Northern Ireland,Pigmeat,23.95
United Kingdom of Great Britain and Northern Ireland,"Offals, Edible",1.55
United Republic of Tanzania,Pigmeat,0.26
United Republic of Tanzania,"Offals, Edible",1.51
United States of America,Pigmeat,30.84
United States of America,"Offals, Edible",0.45
Uruguay,Pigmeat,14.66
Uruguay,"Offals, Edible",1.8
Uzbekistan,Pigmeat,0.16
Uzbekistan,"Offals, Edible",4.6
Vanuatu,Pigmeat,13.01
Vanuatu,"Offals, Edible",1.7
Venezuela (Bolivarian Republic of),Pigmeat,4.79
Venezuela (Bolivarian Republic of),"Offals, Edible",2.23
Viet Nam,Pigmeat,34.66
Viet Nam,"Offals, Edible",5.14
Yemen,Pigmeat,0
Yemen,"Offals, Edible",1.29
Zambia,Pigmeat,1.6
Zambia,"Offals, Edible",1.77
Zimbabwe,Pigmeat,0.72
Zimbabwe,"Offals, Edible",0.8
